2023-12-04 17:40:49 - CPU: 0.7%, Memory: 20.3%, Disk: 59.1%, Sent: 11.28 MB, Received: 68.41 MB
2023-12-04 17:40:55 - CPU: 0.2%, Memory: 20.5%, Disk: 59.1%, Sent: 11.29 MB, Received: 68.42 MB
2023-12-04 17:42:22 - CPU: 0.2%, Memory: 20.1%, Disk: 59.1%, Sent: 11.32 MB, Received: 68.45 MB
2023-12-04 17:42:28 - CPU: 0.1%, Memory: 20.1%, Disk: 59.1%, Sent: 11.32 MB, Received: 68.45 MB
2023-12-04 17:42:34 - CPU: 0.3%, Memory: 20.1%, Disk: 59.1%, Sent: 11.32 MB, Received: 68.45 MB
2023-12-04 17:42:40 - CPU: 0.2%, Memory: 20.1%, Disk: 59.1%, Sent: 11.32 MB, Received: 68.45 MB
2023-12-04 17:42:46 - CPU: 0.2%, Memory: 20.1%, Disk: 59.1%, Sent: 11.32 MB, Received: 68.45 MB
2023-12-04 17:42:52 - CPU: 0.1%, Memory: 20.1%, Disk: 59.1%, Sent: 11.32 MB, Received: 68.45 MB
2023-12-04 17:42:58 - CPU: 0.1%, Memory: 20.1%, Disk: 59.1%, Sent: 11.32 MB, Received: 68.45 MB
2023-12-04 17:43:04 - CPU: 0.1%, Memory: 20.1%, Disk: 59.1%, Sent: 11.32 MB, Received: 68.45 MB
2023-12-04 17:43:10 - CPU: 0.1%, Memory: 20.1%, Disk: 59.1%, Sent: 11.32 MB, Received: 68.46 MB
2023-12-04 17:43:16 - CPU: 0.1%, Memory: 20.1%, Disk: 59.1%, Sent: 11.35 MB, Received: 68.47 MB
2023-12-04 17:43:22 - CPU: 0.1%, Memory: 20.1%, Disk: 59.1%, Sent: 11.35 MB, Received: 68.47 MB
2023-12-04 17:43:28 - CPU: 2.8%, Memory: 20.2%, Disk: 59.1%, Sent: 11.35 MB, Received: 68.47 MB
2023-12-04 17:43:34 - CPU: 1.3%, Memory: 20.2%, Disk: 59.1%, Sent: 11.35 MB, Received: 68.47 MB
2023-12-04 17:43:40 - CPU: 8.9%, Memory: 21.8%, Disk: 59.1%, Sent: 11.35 MB, Received: 68.47 MB
2023-12-04 17:43:46 - CPU: 26.9%, Memory: 21.7%, Disk: 59.1%, Sent: 11.35 MB, Received: 68.47 MB
2023-12-04 17:43:52 - CPU: 24.9%, Memory: 21.7%, Disk: 59.1%, Sent: 11.35 MB, Received: 68.47 MB
2023-12-04 17:43:58 - CPU: 30.6%, Memory: 21.7%, Disk: 59.1%, Sent: 11.35 MB, Received: 68.47 MB
2023-12-04 17:44:04 - CPU: 2.6%, Memory: 20.4%, Disk: 59.1%, Sent: 11.35 MB, Received: 68.47 MB
